Timestamp,DateTime,Symbol,Open,High,Low,Close,Volume,OpenInterest
1707363900,2024-02-08 09:15:00,NIFTY-FUT,22055.00,22087.00,21988.30,22014.90,1873350,12097650
1707367500,2024-02-08 10:15:00,NIFTY-FUT,22015.70,22045.80,21810.00,21840.00,2822250,12095250
1707371100,2024-02-08 11:15:00,NIFTY-FUT,21841.30,21906.30,21829.80,21895.60,1610950,12151100
1707374700,2024-02-08 12:15:00,NIFTY-FUT,21895.60,21910.00,21861.60,21896.90,825150,12119500
1707378300,2024-02-08 13:15:00,NIFTY-FUT,21899.00,21905.20,21825.30,21829.30,843300,12223050
1707381900,2024-02-08 14:15:00,NIFTY-FUT,21826.50,21857.00,21768.00,21819.80,2283900,12561100
1707385500,2024-02-08 15:15:00,NIFTY-FUT,21819.00,21835.70,21810.00,21814.60,684800,12291900
1707450300,2024-02-09 09:15:00,NIFTY-FUT,21809.90,21844.00,21710.60,21808.00,2294350,12346850
1707453900,2024-02-09 10:15:00,NIFTY-FUT,21810.00,21815.00,21674.20,21728.50,1230050,12366650
1707457500,2024-02-09 11:15:00,NIFTY-FUT,21728.00,21810.00,21690.20,21787.00,1082100,12259750
1707461100,2024-02-09 12:15:00,NIFTY-FUT,21787.00,21832.10,21777.80,21818.50,748750,12053900
1707464700,2024-02-09 13:15:00,NIFTY-FUT,21818.50,21842.40,21763.30,21829.70,655700,12028250
1707468300,2024-02-09 14:15:00,NIFTY-FUT,21829.90,21867.40,21812.00,21841.00,1137800,11987400
1707471900,2024-02-09 15:15:00,NIFTY-FUT,21840.70,21850.00,21831.00,21842.60,412700,11684900
1707709500,2024-02-12 09:15:00,NIFTY-FUT,21905.60,22088.70,21759.00,21775.00,1609550,11906850
1707713100,2024-02-12 10:15:00,NIFTY-FUT,21777.50,21804.50,21725.30,21796.00,1003550,12015300
1707716700,2024-02-12 11:15:00,NIFTY-FUT,21798.00,21809.00,21683.50,21719.10,996650,12116650
1707720300,2024-02-12 12:15:00,NIFTY-FUT,21717.50,21762.00,21662.00,21699.10,1081850,12199450
1707723900,2024-02-12 13:15:00,NIFTY-FUT,21699.10,21778.90,21678.80,21775.00,666850,12162900
1707727500,2024-02-12 14:15:00,NIFTY-FUT,21777.00,21782.80,21672.80,21683.20,843900,12085600
1707731100,2024-02-12 15:15:00,NIFTY-FUT,21686.00,21712.10,21670.00,21697.80,511250,11851500
1707795900,2024-02-13 09:15:00,NIFTY-FUT,21720.20,21788.00,21626.50,21781.70,2141750,12183050
1707799500,2024-02-13 10:15:00,NIFTY-FUT,21783.50,21825.00,21747.70,21821.00,1016250,12173950
1707803100,2024-02-13 11:15:00,NIFTY-FUT,21822.00,21828.80,21702.00,21702.00,786100,12258100
1707806700,2024-02-13 12:15:00,NIFTY-FUT,21703.00,21792.00,21684.40,21752.80,855900,12291900
1707810300,2024-02-13 13:15:00,NIFTY-FUT,21752.80,21840.00,21742.00,21798.00,911850,12321150
1707813900,2024-02-13 14:15:00,NIFTY-FUT,21795.30,21844.30,21774.30,21837.70,809750,12322200
1707817500,2024-02-13 15:15:00,NIFTY-FUT,21835.20,21837.30,21806.50,21816.80,386700,12277000
1707882300,2024-02-14 09:15:00,NIFTY-FUT,21675.00,21680.00,21600.80,21680.00,2844950,11924000
1707885900,2024-02-14 10:15:00,NIFTY-FUT,21681.00,21712.30,21645.60,21666.40,844250,11835700
1707889500,2024-02-14 11:15:00,NIFTY-FUT,21666.40,21694.00,21638.00,21684.00,359150,11800400
1707893100,2024-02-14 12:15:00,NIFTY-FUT,21684.70,21770.00,21684.00,21754.00,933900,11778100
1707896700,2024-02-14 13:15:00,NIFTY-FUT,21754.60,21791.50,21690.30,21791.50,725300,11710700
1707900300,2024-02-14 14:15:00,NIFTY-FUT,21791.00,21951.00,21780.00,21894.70,2795350,12101850
1707903900,2024-02-14 15:15:00,NIFTY-FUT,21890.00,21927.00,21887.30,21916.80,786550,11818300
1707968700,2024-02-15 09:15:00,NIFTY-FUT,21970.20,21977.00,21846.30,21931.80,2658050,11490200
1707972300,2024-02-15 10:15:00,NIFTY-FUT,21937.00,21955.00,21887.10,21926.00,1048000,11524950
1707975900,2024-02-15 11:15:00,NIFTY-FUT,21926.10,21942.00,21901.50,21924.30,417150,11514200
1707979500,2024-02-15 12:15:00,NIFTY-FUT,21924.20,21938.00,21889.60,21934.50,396650,11550950
1707983100,2024-02-15 13:15:00,NIFTY-FUT,21934.70,22028.00,21916.00,21990.50,1719950,11556350
1707986700,2024-02-15 14:15:00,NIFTY-FUT,21987.00,22003.00,21960.00,21998.30,1418350,11559150
1707990300,2024-02-15 15:15:00,NIFTY-FUT,21998.30,22022.50,21998.00,22005.00,578250,11450700
1708055100,2024-02-16 09:15:00,NIFTY-FUT,22060.20,22116.10,22040.00,22113.60,1720900,11813250
1708058700,2024-02-16 10:15:00,NIFTY-FUT,22116.00,22119.90,22086.70,22100.60,499500,11883450
1708062300,2024-02-16 11:15:00,NIFTY-FUT,22100.80,22118.80,22070.20,22111.00,490800,11874000
1708065900,2024-02-16 12:15:00,NIFTY-FUT,22111.00,22126.00,22081.00,22117.90,756400,11714450
1708069500,2024-02-16 13:15:00,NIFTY-FUT,22117.70,22124.30,22086.00,22106.20,646650,11633950
1708073100,2024-02-16 14:15:00,NIFTY-FUT,22106.20,22140.00,22089.50,22095.50,840200,11715600
1708076700,2024-02-16 15:15:00,NIFTY-FUT,22096.00,22104.60,22077.40,22097.80,443650,11613300
1708314300,2024-02-19 09:15:00,NIFTY-FUT,22142.20,22149.00,22055.00,22112.20,1290100,11615650
1708317900,2024-02-19 10:15:00,NIFTY-FUT,22113.00,22184.70,22110.00,22183.20,758850,11676400
1708321500,2024-02-19 11:15:00,NIFTY-FUT,22182.80,22230.20,22168.30,22219.20,1098750,11806900
1708325100,2024-02-19 12:15:00,NIFTY-FUT,22220.20,22238.00,22205.00,22235.00,435700,11877900
1708328700,2024-02-19 13:15:00,NIFTY-FUT,22235.00,22248.00,22198.60,22224.00,484700,11976300
1708332300,2024-02-19 14:15:00,NIFTY-FUT,22224.80,22260.00,22142.00,22166.40,1058400,11960200
1708335900,2024-02-19 15:15:00,NIFTY-FUT,22166.40,22188.00,22160.00,22171.40,318850,11758800
1708400700,2024-02-20 09:15:00,NIFTY-FUT,22140.00,22158.30,22077.80,22118.70,1703750,11480850
1708404300,2024-02-20 10:15:00,NIFTY-FUT,22118.50,22165.00,22099.20,22125.00,795700,11497800
1708407900,2024-02-20 11:15:00,NIFTY-FUT,22125.20,22220.00,22123.00,22201.30,948300,11486500
1708411500,2024-02-20 12:15:00,NIFTY-FUT,22201.40,22205.30,22165.30,22170.00,349050,11450450
1708415100,2024-02-20 13:15:00,NIFTY-FUT,22170.00,22203.20,22099.00,22143.00,759300,11446550
1708418700,2024-02-20 14:15:00,NIFTY-FUT,22143.10,22229.20,22138.20,22216.80,830200,11480850
1708422300,2024-02-20 15:15:00,NIFTY-FUT,22215.00,22234.00,22215.00,22217.20,466600,11361700
1708487100,2024-02-21 09:15:00,NIFTY-FUT,22245.20,22272.00,22220.20,22238.00,1050700,11491700
1708490700,2024-02-21 10:15:00,NIFTY-FUT,22238.20,22249.00,22184.00,22226.00,922900,11475550
1708494300,2024-02-21 11:15:00,NIFTY-FUT,22228.00,22250.00,22195.60,22239.00,334100,11454500
1708497900,2024-02-21 12:15:00,NIFTY-FUT,22239.00,22270.20,22232.50,22246.00,320900,11455550
1708501500,2024-02-21 13:15:00,NIFTY-FUT,22245.10,22260.00,22141.70,22155.10,1142450,11506950
1708505100,2024-02-21 14:15:00,NIFTY-FUT,22152.80,22178.30,22022.80,22110.50,2199950,11476650
1708508700,2024-02-21 15:15:00,NIFTY-FUT,22110.50,22115.30,22030.00,22070.20,667000,11202500
1708573500,2024-02-22 09:15:00,NIFTY-FUT,22119.80,22119.80,21971.00,22000.50,2291850,11225900
1708577100,2024-02-22 10:15:00,NIFTY-FUT,22000.50,22009.00,21943.00,21986.70,1122650,11327350
1708580700,2024-02-22 11:15:00,NIFTY-FUT,21985.00,22038.90,21960.20,22024.70,716100,11287150
1708584300,2024-02-22 12:15:00,NIFTY-FUT,22022.30,22033.00,21988.20,22011.70,563850,11247350
1708587900,2024-02-22 13:15:00,NIFTY-FUT,22011.70,22172.00,22007.00,22125.00,2320600,11578300
1708591500,2024-02-22 14:15:00,NIFTY-FUT,22123.10,22248.50,22112.20,22237.60,2386150,11536450
1708595100,2024-02-22 15:15:00,NIFTY-FUT,22237.70,22269.90,22232.20,22243.30,898250,11136000
1708659900,2024-02-23 09:15:00,NIFTY-FUT,22285.10,22344.50,22235.10,22294.50,1507700,11420900
1708663500,2024-02-23 10:15:00,NIFTY-FUT,22295.00,22322.70,22232.80,22287.00,1322300,11764800
1708667100,2024-02-23 11:15:00,NIFTY-FUT,22285.00,22297.90,22253.30,22269.80,626450,11220550
1708670700,2024-02-23 12:15:00,NIFTY-FUT,22269.80,22300.00,22259.00,22278.90,461800,11032200
1708674300,2024-02-23 13:15:00,NIFTY-FUT,22279.00,22285.90,22223.00,22238.80,713850,10849300
1708677900,2024-02-23 14:15:00,NIFTY-FUT,22242.00,22280.00,22228.00,22233.70,685950,10621100
1708681500,2024-02-23 15:15:00,NIFTY-FUT,22234.10,22253.00,22207.00,22228.80,642400,10244700
1708919100,2024-02-26 09:15:00,NIFTY-FUT,22195.00,22230.60,22135.00,22171.30,1393550,10251350
1708922700,2024-02-26 10:15:00,NIFTY-FUT,22171.30,22171.30,22116.60,22139.00,949600,10412350
1708926300,2024-02-26 11:15:00,NIFTY-FUT,22139.00,22151.00,22098.00,22112.00,767500,10612550
1708929900,2024-02-26 12:15:00,NIFTY-FUT,22112.00,22177.50,22088.00,22165.40,759650,10753600
1708933500,2024-02-26 13:15:00,NIFTY-FUT,22167.60,22195.00,22145.00,22170.50,880650,10924450
1708937100,2024-02-26 14:15:00,NIFTY-FUT,22170.20,22206.50,22122.50,22149.60,849650,10855050
1708940700,2024-02-26 15:15:00,NIFTY-FUT,22149.50,22149.50,22128.40,22141.70,379550,9139950
1709005500,2024-02-27 09:15:00,NIFTY-FUT,22120.00,22159.80,22100.70,22108.00,1042900,9173150
1709009100,2024-02-27 10:15:00,NIFTY-FUT,22108.00,22157.00,22095.10,22142.20,1331600,9729600
1709012700,2024-02-27 11:15:00,NIFTY-FUT,22142.00,22174.50,22113.30,22135.50,649350,9772100
1709016300,2024-02-27 12:15:00,NIFTY-FUT,22134.00,22218.00,22122.00,22212.50,736950,9786300
1709019900,2024-02-27 13:15:00,NIFTY-FUT,22212.00,22222.50,22135.00,22180.70,1044550,9895850
1709023500,2024-02-27 14:15:00,NIFTY-FUT,22180.70,22229.30,22154.00,22203.90,1029150,9731300
1709027100,2024-02-27 15:15:00,NIFTY-FUT,22203.80,22206.10,22176.00,22203.00,321850,6818450
1709091900,2024-02-28 09:15:00,NIFTY-FUT,22196.80,22225.00,22166.30,22216.50,854950,6868800
1709095500,2024-02-28 10:15:00,NIFTY-FUT,22214.00,22220.00,22011.10,22046.50,1704900,6861400
1709099100,2024-02-28 11:15:00,NIFTY-FUT,22048.00,22076.20,21976.30,22029.00,1083700,6852750
1709102700,2024-02-28 12:15:00,NIFTY-FUT,22029.00,22040.80,21903.60,21920.00,1054850,6907900
1709106300,2024-02-28 13:15:00,NIFTY-FUT,21922.60,22040.70,21920.00,22026.10,1063450,6949400
1709109900,2024-02-28 14:15:00,NIFTY-FUT,22025.50,22029.30,21901.20,21913.20,1196950,7030950
