Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,08-02-2024 09:15:00,22055.00,22087.00,22043.20,22079.70,800050,12082600
NIFTY-FUT,08-02-2024 09:30:00,22079.00,22086.00,22040.10,22054.90,303300,12105150
NIFTY-FUT,08-02-2024 09:45:00,22055.30,22056.30,22027.70,22041.00,261000,12128950
NIFTY-FUT,08-02-2024 10:00:00,22038.00,22075.00,21988.30,22014.90,509000,12097650
NIFTY-FUT,08-02-2024 10:15:00,22015.70,22039.30,21961.00,22030.20,492200,12136500
NIFTY-FUT,08-02-2024 10:30:00,22030.10,22045.80,21951.50,21962.00,437350,12149550
NIFTY-FUT,08-02-2024 10:45:00,21960.00,21985.30,21914.80,21914.80,498500,12161050
NIFTY-FUT,08-02-2024 11:00:00,21912.60,21915.00,21810.00,21840.00,1394200,12095250
NIFTY-FUT,08-02-2024 11:15:00,21841.30,21876.90,21829.80,21868.00,616000,12186400
NIFTY-FUT,08-02-2024 11:30:00,21865.00,21872.80,21839.00,21861.90,369750,12182150
NIFTY-FUT,08-02-2024 11:45:00,21861.00,21899.00,21850.30,21872.80,316950,12164550
NIFTY-FUT,08-02-2024 12:00:00,21871.20,21906.30,21869.00,21895.60,308250,12151100
NIFTY-FUT,08-02-2024 12:15:00,21895.60,21899.30,21861.60,21876.00,273800,12129850
NIFTY-FUT,08-02-2024 12:30:00,21876.00,21892.60,21862.30,21890.40,164550,12124450
NIFTY-FUT,08-02-2024 12:45:00,21891.80,21899.80,21875.60,21896.50,155200,12096750
NIFTY-FUT,08-02-2024 13:00:00,21896.70,21910.00,21876.00,21896.90,231600,12119500
NIFTY-FUT,08-02-2024 13:15:00,21899.00,21905.20,21875.00,21893.00,167800,12138800
NIFTY-FUT,08-02-2024 13:30:00,21893.00,21893.80,21876.50,21887.80,170500,12147550
NIFTY-FUT,08-02-2024 13:45:00,21887.80,21890.70,21858.00,21869.50,208600,12189700
NIFTY-FUT,08-02-2024 14:00:00,21866.30,21872.50,21825.30,21829.30,296400,12223050
NIFTY-FUT,08-02-2024 14:15:00,21826.50,21857.00,21811.30,21826.30,331400,12258250
