Timestamp,DateTime,Symbol,Open,High,Low,Close,Volume,OpenInterest
1774237500,2026-03-23 09:15:00,NIFTY-FUT,22821.00,22821.00,22645.80,22700.00,838435,17302870
1774237800,2026-03-23 09:20:00,NIFTY-FUT,22699.10,22747.10,22690.00,22714.60,377260,17334460
1774238100,2026-03-23 09:25:00,NIFTY-FUT,22714.60,22736.20,22710.00,22717.30,120445,17314960
1774238400,2026-03-23 09:30:00,NIFTY-FUT,22716.40,22733.00,22709.60,22722.00,185250,17293836
1774238700,2026-03-23 09:35:00,NIFTY-FUT,22722.20,22758.00,22713.40,22728.40,127140,17286816
1774239000,2026-03-23 09:40:00,NIFTY-FUT,22727.50,22730.10,22693.40,22715.50,137995,17302870
1774239300,2026-03-23 09:45:00,NIFTY-FUT,22708.60,22708.70,22663.80,22670.00,151905,17319056
1774239600,2026-03-23 09:50:00,NIFTY-FUT,22669.00,22671.70,22625.00,22628.30,167115,17331144
1774239900,2026-03-23 09:55:00,NIFTY-FUT,22628.30,22635.20,22594.70,22600.00,308360,17502484
1774240200,2026-03-23 10:00:00,NIFTY-FUT,22600.50,22628.00,22586.00,22627.30,143845,17540576
1774240500,2026-03-23 10:05:00,NIFTY-FUT,22625.00,22644.60,22614.60,22620.00,96980,17537910
1774240800,2026-03-23 10:10:00,NIFTY-FUT,22620.00,22621.00,22581.00,22585.40,114335,17566510
1774241100,2026-03-23 10:15:00,NIFTY-FUT,22588.00,22600.00,22567.20,22568.00,103415,17545124
1774241400,2026-03-23 10:20:00,NIFTY-FUT,22568.00,22578.20,22556.10,22561.00,174070,17540510
1774241700,2026-03-23 10:25:00,NIFTY-FUT,22563.60,22581.90,22552.00,22555.60,70265,17555396
1774242000,2026-03-23 10:30:00,NIFTY-FUT,22555.60,22579.90,22552.00,22555.00,84760,17566184
1774242300,2026-03-23 10:35:00,NIFTY-FUT,22555.00,22597.90,22555.00,22575.00,90870,17554744
1774242600,2026-03-23 10:40:00,NIFTY-FUT,22575.00,22580.00,22556.10,22570.40,59670,17561116
1774242900,2026-03-23 10:45:00,NIFTY-FUT,22565.80,22575.00,22555.10,22566.20,38090,17494360
1774243200,2026-03-23 10:50:00,NIFTY-FUT,22562.00,22562.00,22522.00,22541.00,148460,17496050
1774243500,2026-03-23 10:55:00,NIFTY-FUT,22541.00,22552.80,22527.40,22550.00,67405,17513990
1774243800,2026-03-23 11:00:00,NIFTY-FUT,22550.90,22554.90,22515.00,22554.90,94315,17525950
1774244100,2026-03-23 11:05:00,NIFTY-FUT,22554.50,22596.40,22541.80,22585.00,98605,17520816
1774244400,2026-03-23 11:10:00,NIFTY-FUT,22585.00,22585.90,22562.80,22570.50,44980,17514770
1774244700,2026-03-23 11:15:00,NIFTY-FUT,22567.10,22568.50,22537.30,22543.00,44005,17520880
1774245000,2026-03-23 11:20:00,NIFTY-FUT,22540.80,22570.00,22540.00,22561.80,51805,17533424
1774245300,2026-03-23 11:25:00,NIFTY-FUT,22563.30,22575.00,22549.90,22570.60,38090,17536740
1774245600,2026-03-23 11:30:00,NIFTY-FUT,22569.10,22578.00,22538.00,22542.70,52130,17546556
1774245900,2026-03-23 11:35:00,NIFTY-FUT,22546.00,22554.00,22530.00,22554.00,45695,17550196
1774246200,2026-03-23 11:40:00,NIFTY-FUT,22551.90,22564.00,22513.00,22530.00,53560,17557540
1774246500,2026-03-23 11:45:00,NIFTY-FUT,22528.50,22541.50,22524.80,22539.20,33995,17560140
1774246800,2026-03-23 11:50:00,NIFTY-FUT,22539.00,22571.20,22530.10,22564.30,52585,17560790
1774247100,2026-03-23 11:55:00,NIFTY-FUT,22560.70,22569.00,22540.00,22561.50,30745,17566380
