Timestamp,DateTime,Symbol,Open,High,Low,Close,Volume,OpenInterest
1769917500,2026-02-01 09:15:00,NSE:NIFTY26FEBFUT,25425,25425,25333,25380.6,146315,0,1,0
1769917560,2026-02-01 09:16:00,NSE:NIFTY26FEBFUT,25376.6,25384,25360.7,25366,44070,0,1,0
1769917620,2026-02-01 09:17:00,NSE:NIFTY26FEBFUT,25370.4,25385,25370.4,25384.9,27755,0,1,0
1769917680,2026-02-01 09:18:00,NSE:NIFTY26FEBFUT,25381.9,25390.3,25380.9,25387.6,20800,0,1,0
1769917740,2026-02-01 09:19:00,NSE:NIFTY26FEBFUT,25387.4,25389.4,25381,25381.6,17355,0,1,0
1769917800,2026-02-01 09:20:00,NSE:NIFTY26FEBFUT,25380,25389.6,25366.5,25387.9,18330,0,1,0
1769917860,2026-02-01 09:21:00,NSE:NIFTY26FEBFUT,25388.8,25388.8,25370,25370,17355,0,1,0
1769917920,2026-02-01 09:22:00,NSE:NIFTY26FEBFUT,25374.4,25384.4,25366.8,25371.9,11245,0,1,0
1769917980,2026-02-01 09:23:00,NSE:NIFTY26FEBFUT,25369.9,25381.7,25367.8,25374,8450,0,1,0
1769918040,2026-02-01 09:24:00,NSE:NIFTY26FEBFUT,25380.8,25383.9,25371,25375.4,13065,0,1,0
1769918100,2026-02-01 09:25:00,NSE:NIFTY26FEBFUT,25377.2,25383.8,25367.2,25383.8,13195,0,1,0
1769918160,2026-02-01 09:26:00,NSE:NIFTY26FEBFUT,25376.3,25384.4,25373.7,25378,12805,0,1,0
1769918220,2026-02-01 09:27:00,NSE:NIFTY26FEBFUT,25377.6,25394,25375.5,25381.4,15145,0,1,0
1769918280,2026-02-01 09:28:00,NSE:NIFTY26FEBFUT,25387.3,25395,25381.4,25390,17355,0,1,0
1769918340,2026-02-01 09:29:00,NSE:NIFTY26FEBFUT,25395,25395,25388.5,25394.6,24570,0,1,0
1769918400,2026-02-01 09:30:00,NSE:NIFTY26FEBFUT,25394.4,25395,25382.2,25383.8,11895,0,1,0
1769918460,2026-02-01 09:31:00,NSE:NIFTY26FEBFUT,25382.2,25388,25372,25376.1,13065,0,1,0
1769918520,2026-02-01 09:32:00,NSE:NIFTY26FEBFUT,25379,25384.7,25375,25382,9685,0,1,0
1769918580,2026-02-01 09:33:00,NSE:NIFTY26FEBFUT,25379.9,25390,25379.6,25388.3,5590,0,1,0
1769918640,2026-02-01 09:34:00,NSE:NIFTY26FEBFUT,25388.7,25390,25381.9,25387,5785,0,1,0
1769918700,2026-02-01 09:35:00,NSE:NIFTY26FEBFUT,25386.4,25386.4,25377.3,25379,6305,0,1,0
1769918760,2026-02-01 09:36:00,NSE:NIFTY26FEBFUT,25378.4,25389.8,25378.4,25386.2,15535,0,1,0
1769918820,2026-02-01 09:37:00,NSE:NIFTY26FEBFUT,25387.7,25391,25384,25389,4160,0,1,0
1769918880,2026-02-01 09:38:00,NSE:NIFTY26FEBFUT,25389,25390,25385.8,25388.5,6630,0,1,0
1769918940,2026-02-01 09:39:00,NSE:NIFTY26FEBFUT,25389.6,25391.9,25383.1,25385.2,9555,0,1,0
1769919000,2026-02-01 09:40:00,NSE:NIFTY26FEBFUT,25384.4,25385.1,25375,25377.3,10985,0,1,0
1769919060,2026-02-01 09:41:00,NSE:NIFTY26FEBFUT,25378,25386.5,25378,25386,5785,0,1,0
1769919120,2026-02-01 09:42:00,NSE:NIFTY26FEBFUT,25386,25389,25380,25383.9,13065,0,1,0
1769919180,2026-02-01 09:43:00,NSE:NIFTY26FEBFUT,25385,25391.8,25384,25390,8385,0,1,0
1769919240,2026-02-01 09:44:00,NSE:NIFTY26FEBFUT,25390,25409,25387.4,25407.1,13390,0,1,0
1769919300,2026-02-01 09:45:00,NSE:NIFTY26FEBFUT,25406.3,25422,25406.3,25413.6,40040,0,1,0
1769919360,2026-02-01 09:46:00,NSE:NIFTY26FEBFUT,25412.6,25417.3,25407.6,25412,8905,0,1,0
1769919420,2026-02-01 09:47:00,NSE:NIFTY26FEBFUT,25412,25419.9,25407,25410.5,16185,0,1,0
1769919480,2026-02-01 09:48:00,NSE:NIFTY26FEBFUT,25408.7,25412,25397.2,25411,12675,0,1,0
1769919540,2026-02-01 09:49:00,NSE:NIFTY26FEBFUT,25409.5,25416.8,25408.5,25410,8450,0,1,0
1769919600,2026-02-01 09:50:00,NSE:NIFTY26FEBFUT,25412.3,25418.4,25362.8,25389.9,27625,0,1,0
1769919660,2026-02-01 09:51:00,NSE:NIFTY26FEBFUT,25383.4,25410.5,25383.4,25400,106405,0,1,0
1769919720,2026-02-01 09:52:00,NSE:NIFTY26FEBFUT,25404,25415,25404,25407.6,5785,0,1,0
1769919780,2026-02-01 09:53:00,NSE:NIFTY26FEBFUT,25408.1,25410.9,25404.1,25409,5720,0,1,0
